rank,score,win_rate,total_pnl,total_trades,profit_factor,sharpe_ratio,max_drawdown,avg_trade,avg_bars_held,signal_cooldown_bars,min_confirmation_bars,sustained_bars_required,enable_val_bounce,enable_vah_rejection,enable_poc_breakdown,use_time_filter,enable_stop_loss,stop_loss_percent,enable_take_profit,take_profit_percent,min_hold_bars
1,1.5531,51.6,3444.85,95,1.92,3.59,564.74,36.26,70.7,20,2,4,True,True,True,True,False,50,True,100,5
2,1.5531,51.6,3444.85,95,1.92,3.59,564.74,36.26,70.7,20,2,4,True,True,True,True,False,50,True,100,0
3,1.5183,51.3,3183.39,78,2.09,3.67,349.12,40.81,84.8,20,3,4,True,False,False,True,False,50,True,100,5
4,1.5183,51.3,3183.39,78,2.09,3.67,349.12,40.81,84.8,20,3,4,True,False,False,True,False,50,True,100,0
5,1.4848,51.2,3102.75,80,2.00,3.55,349.12,38.78,82.7,20,2,4,True,False,False,True,False,50,True,100,0
6,1.4848,51.2,3102.75,80,2.00,3.55,349.12,38.78,82.7,20,2,4,True,False,False,True,False,50,True,100,5
7,1.4831,51.1,3369.45,94,1.94,3.58,500.94,35.85,68.6,20,3,4,True,True,False,True,False,50,True,100,0
8,1.4831,51.1,3369.45,94,1.94,3.58,500.94,35.85,68.6,20,3,4,True,True,False,True,False,50,True,100,5
9,1.3826,51.0,3239.21,96,1.87,3.43,500.94,33.74,67.2,20,2,4,True,True,False,True,False,50,True,100,0
10,1.3826,51.0,3239.21,96,1.87,3.43,500.94,33.74,67.2,20,2,4,True,True,False,True,False,50,True,100,5
11,1.3670,50.5,3376.00,95,1.89,3.50,564.74,35.54,70.7,20,3,4,True,True,True,True,False,50,True,100,0
12,1.3670,50.5,3376.00,95,1.89,3.50,564.74,35.54,70.7,20,3,4,True,True,True,True,False,50,True,100,5
13,1.2835,48.3,4206.07,118,1.97,3.81,973.97,35.64,58.6,20,2,3,True,True,True,False,False,50,True,100,0
14,1.2835,48.3,4206.07,118,1.97,3.81,973.97,35.64,58.6,20,2,3,True,True,True,False,False,50,True,100,5
15,1.2330,49.5,3298.64,91,1.95,3.63,660.02,36.25,74.5,20,3,4,True,False,True,True,False,50,True,100,0
16,1.2330,49.5,3298.64,91,1.95,3.63,660.02,36.25,74.5,20,3,4,True,False,True,True,False,50,True,100,5
17,1.1839,47.3,4325.97,112,2.06,3.88,891.45,38.62,61.5,20,2,3,False,True,True,False,False,50,True,100,5
18,1.1839,47.3,4325.97,112,2.06,3.88,891.45,38.62,61.5,20,2,3,False,True,True,False,False,50,True,100,0
19,1.1442,47.9,4038.92,119,1.91,3.72,973.97,33.94,58.3,20,3,3,True,True,True,False,False,50,True,100,0
20,1.1442,47.9,4038.92,119,1.91,3.72,973.97,33.94,58.3,20,3,3,True,True,True,False,False,50,True,100,5
21,1.1357,47.0,4422.37,115,2.08,4.12,967.55,38.46,59.6,20,2,3,False,True,False,False,False,50,True,100,0
22,1.1357,47.0,4422.37,115,2.08,4.12,967.55,38.46,59.6,20,2,3,False,True,False,False,False,50,True,100,5
23,1.1238,49.5,3075.83,99,1.86,3.38,614.07,31.07,70.1,15,2,4,True,False,True,True,False,50,True,100,0
24,1.1238,49.5,3075.83,99,1.86,3.38,614.07,31.07,70.1,15,2,4,True,False,True,True,False,50,True,100,5
25,1.0931,49.0,3144.18,98,1.88,3.43,614.07,32.08,70.6,15,3,4,True,False,True,True,False,50,True,100,0
26,1.0931,49.0,3144.18,98,1.88,3.43,614.07,32.08,70.6,15,3,4,True,False,True,True,False,50,True,100,5
27,1.0776,46.9,4156.57,113,1.99,3.79,891.45,36.78,61.2,20,3,3,False,True,True,False,False,50,True,100,0
28,1.0776,46.9,4156.57,113,1.99,3.79,891.45,36.78,61.2,20,3,3,False,True,True,False,False,50,True,100,5
29,1.0643,49.0,3193.53,96,1.81,3.30,592.74,33.27,69.1,20,2,4,False,True,True,True,False,50,True,100,0
30,1.0643,49.0,3193.53,96,1.81,3.30,592.74,33.27,69.1,20,2,4,False,True,True,True,False,50,True,100,5
31,1.0615,49.0,3189.83,96,1.80,3.29,592.74,33.23,69.2,20,3,4,False,True,True,True,False,50,True,100,0
32,1.0615,49.0,3189.83,96,1.80,3.29,592.74,33.23,69.2,20,3,4,False,True,True,True,False,50,True,100,5
33,1.0245,48.9,3003.69,90,1.85,3.33,660.02,33.37,75.5,20,2,4,True,False,True,True,False,50,True,100,0
34,1.0245,48.9,3003.69,90,1.85,3.33,660.02,33.37,75.5,20,2,4,True,False,True,True,False,50,True,100,5
35,0.9847,46.1,4373.28,115,2.05,4.09,967.55,38.03,59.6,20,3,3,False,True,False,False,False,50,True,100,5
36,0.9847,46.1,4373.28,115,2.05,4.09,967.55,38.03,59.6,20,3,3,False,True,False,False,False,50,True,100,0
37,0.9532,49.1,2893.55,108,1.72,3.24,614.07,26.79,64.1,15,2,4,True,True,True,True,False,50,True,100,0
38,0.9532,49.1,2893.55,108,1.72,3.24,614.07,26.79,64.1,15,2,4,True,True,True,True,False,50,True,100,5
39,0.8480,49.4,2338.10,81,1.70,2.91,432.54,28.87,83.8,15,2,4,True,False,False,True,False,50,True,100,0
40,0.8480,49.4,2338.10,81,1.70,2.91,432.54,28.87,83.8,15,2,4,True,False,False,True,False,50,True,100,5
41,0.8291,48.1,2824.70,108,1.70,3.16,614.07,26.15,64.1,15,3,4,True,True,True,True,False,50,True,100,0
42,0.8291,48.1,2824.70,108,1.70,3.16,614.07,26.15,64.1,15,3,4,True,True,True,True,False,50,True,100,5
43,0.7873,47.4,2641.96,76,1.84,3.20,447.43,34.76,87.7,20,2,3,True,False,False,True,False,50,True,100,0
44,0.7873,47.4,2641.96,76,1.84,3.20,447.43,34.76,87.7,20,2,3,True,False,False,True,False,50,True,100,5
45,0.7782,47.4,2616.01,76,1.83,3.16,447.43,34.42,87.7,20,3,3,True,False,False,True,False,50,True,100,0
46,0.7782,47.4,2616.01,76,1.83,3.16,447.43,34.42,87.7,20,3,3,True,False,False,True,False,50,True,100,5
47,0.7610,48.4,2482.50,91,1.67,2.84,591.00,27.28,80.3,20,2,4,True,True,True,True,False,50,False,100,0
48,0.7610,48.4,2482.50,91,1.67,2.84,591.00,27.28,80.3,20,2,4,True,True,True,True,False,50,False,100,5
49,0.7610,48.4,2482.50,91,1.67,2.84,591.00,27.28,80.3,20,3,4,True,True,True,True,False,50,False,100,0
50,0.7610,48.4,2482.50,91,1.67,2.84,591.00,27.28,80.3,20,3,4,True,True,True,True,False,50,False,100,5
51,0.7592,48.4,2501.89,91,1.68,3.00,715.22,27.49,73.9,20,3,4,False,False,True,True,False,50,True,100,0
52,0.7592,48.4,2501.89,91,1.68,3.00,715.22,27.49,73.9,20,3,4,False,False,True,True,False,50,True,100,5
53,0.7178,45.7,2979.21,70,1.99,3.14,472.97,42.56,104.4,20,2,4,True,False,False,True,False,50,False,100,0
54,0.7178,45.7,2979.21,70,1.99,3.14,472.97,42.56,104.4,20,2,4,True,False,False,True,False,50,False,100,5
55,0.7178,45.7,2979.21,70,1.99,3.14,472.97,42.56,104.4,20,3,4,True,False,False,True,False,50,False,100,0
56,0.7178,45.7,2979.21,70,1.99,3.14,472.97,42.56,104.4,20,3,4,True,False,False,True,False,50,False,100,5
