ID,Signal,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Bars Held,Delta,Option Entry,Option Exit,Contracts,P&L,P&L %
1,SUSTAINED_BREAKDOWN,SHORT,2025-11-17 11:20,668.61,2025-11-18 11:20,660.21,Opposite signal: POC_RECLAIM,78,0.30,2.01,4.53,1,250.70,125.6%
2,POC_RECLAIM,LONG,2025-11-18 11:20,660.21,2025-11-18 15:45,660.91,Opposite signal: POC_BREAKDOWN,53,0.30,1.98,2.19,1,19.85,10.7%
3,POC_BREAKDOWN,SHORT,2025-11-18 15:45,660.91,2025-11-19 15:30,663.44,Opposite signal: SUSTAINED_BREAKOUT,75,0.40,2.64,1.63,1,-102.25,-38.2%
4,SUSTAINED_BREAKOUT,LONG,2025-11-19 15:30,663.44,2025-11-26 09:55,677.31,Opposite signal: POC_BREAKDOWN,323,0.40,2.65,8.20,1,553.55,209.1%
5,POC_BREAKDOWN,SHORT,2025-11-26 09:55,677.31,2025-11-26 11:10,680.17,Opposite signal: SUSTAINED_BREAKOUT,15,0.30,2.03,1.17,1,-87.10,-42.2%
6,SUSTAINED_BREAKOUT,LONG,2025-11-26 11:10,680.17,2025-12-01 09:40,679.25,Opposite signal: POC_BREAKDOWN,138,0.30,2.04,1.76,1,-28.90,-13.5%
7,POC_BREAKDOWN,SHORT,2025-12-01 09:40,679.25,2025-12-01 11:45,682.19,Opposite signal: SUSTAINED_BREAKOUT,25,0.30,2.04,1.16,1,-89.50,-43.3%
8,SUSTAINED_BREAKOUT,LONG,2025-12-01 11:45,682.19,2025-12-01 14:20,680.91,Opposite signal: POC_BREAKDOWN,31,0.30,2.05,1.66,1,-39.70,-18.8%
9,POC_BREAKDOWN,SHORT,2025-12-01 14:20,680.91,2025-12-02 12:15,682.16,Opposite signal: POC_RECLAIM,53,0.40,2.72,2.22,1,-51.30,-18.4%
10,POC_RECLAIM,LONG,2025-12-02 12:15,682.16,2025-12-02 13:40,680.72,Opposite signal: SUSTAINED_BREAKDOWN,17,0.40,2.73,2.15,1,-59.10,-21.2%
11,SUSTAINED_BREAKDOWN,SHORT,2025-12-02 13:40,680.72,2025-12-02 15:05,682.39,Opposite signal: SUSTAINED_BREAKOUT,17,0.40,2.72,2.05,1,-68.30,-24.6%
12,SUSTAINED_BREAKOUT,LONG,2025-12-02 15:05,682.39,2025-12-04 09:55,683.04,Opposite signal: SUSTAINED_BREAKDOWN,94,0.40,2.73,2.99,1,24.90,9.6%
13,SUSTAINED_BREAKDOWN,SHORT,2025-12-04 09:55,683.04,2025-12-04 11:20,683.69,Opposite signal: POC_RECLAIM,17,0.30,2.05,1.86,1,-20.65,-9.4%
14,POC_RECLAIM,LONG,2025-12-04 11:20,683.69,2025-12-05 10:55,686.67,Opposite signal: POC_BREAKDOWN,73,0.30,2.05,2.95,1,88.10,43.6%
15,POC_BREAKDOWN,SHORT,2025-12-05 10:55,686.67,2025-12-09 10:00,684.56,Opposite signal: SUSTAINED_BREAKOUT,145,0.30,2.06,2.69,1,62.00,30.7%
16,SUSTAINED_BREAKOUT,LONG,2025-12-09 10:00,684.56,2025-12-09 13:25,684.24,Opposite signal: POC_BREAKDOWN,41,0.30,2.05,1.96,1,-10.90,-4.7%
17,POC_BREAKDOWN,SHORT,2025-12-09 13:25,684.24,2025-12-10 09:35,682.30,Opposite signal: POC_RECLAIM,32,0.40,2.74,3.51,1,76.30,28.4%
